instance,num_phases,w_balanced,red_perc,mean_total_s,mean_solve_s,mean_build_s,mean_objective,mean_max_phase_time,std_total_s,std_solve_s,std_build_s,std_objective,std_max_phase_time
assembly_1,2,0.4,0,1.8374565369449556,1.502609,0.28773401002399623,0.8391577949673961,1092.52,0.0,0.0,0.0,0.0,0.0
assembly_1,2,0.4,5,2.429104285989888,1.9000292,0.4904418054036796,0.8391577949673961,1092.52,0.5224043734230548,0.5338991527273291,0.07786682131546195,1.2161883888976234e-16,0.0
assembly_1,2,0.4,10,1.9127133685862645,1.3610634,0.5176944933831692,0.8391577949673961,1092.52,0.25296917610058617,0.2346415330776714,0.031599868585201495,1.4043333874306804e-16,0.0
assembly_1,2,0.4,15,2.074675688799471,1.459482,0.5706172697944567,0.8391577949673961,1092.52,0.5835890919382895,0.534096228667831,0.06366251072234201,1.7199501139797033e-16,0.0
assembly_1,2,0.4,20,2.1048040504101664,1.3846702,0.682992666005157,0.8391577949673961,1092.52,0.19038348568516286,0.19232922504746905,0.025702191725272622,1.4043333874306804e-16,0.0
assembly_1,2,0.4,25,2.087136998586357,1.310169,0.7377464536111802,0.8391577949673961,1092.52,0.4751810356753544,0.421288754069225,0.0646826686145166,1.790180836524724e-16,0.0
assembly_1,2,0.4,30,1.4954422525828703,0.8861113999999999,0.5771803767886012,0.8391577949673961,1092.52,0.14372680392605316,0.18129607996379848,0.0544101228619256,1.4895204919483638e-16,0.0
assembly_1,2,0.4,35,1.4082629864104093,0.788293,0.5939163753995672,0.8391577949673961,1092.52,0.09349515282167349,0.1044432280485432,0.025358912652532595,0.0,0.0
assembly_1,2,0.4,40,1.6046519631752745,0.9477597999999998,0.6347527588019147,0.8391577949673963,1092.52,0.4668612937610179,0.379400549759433,0.1029422890219179,1.4043333874306804e-16,0.0
assembly_1,2,0.4,45,1.2869223737856372,0.6630438,0.6049595539923758,0.8391577949673961,1092.52,0.20603504129666744,0.2269396807915266,0.024688851788697213,0.0,0.0
assembly_1,2,0.4,50,1.1479296795558185,0.5494087999999999,0.5776841907761991,0.8391577949673963,1092.52,0.07670691425491441,0.07064586686678846,0.022164654010518123,9.930136612989092e-17,0.0
assembly_1,2,0.4,55,1.2104917025659234,0.56016,0.6351636331761256,0.8391577949673961,1092.52,0.13442942922742696,0.1333044100215743,0.07775572688012543,1.4043333874306804e-16,0.0
assembly_1,2,0.4,60,1.2258748273830862,0.5580404,0.6459870911901817,0.8391577949673961,1092.52,0.15350827574285858,0.17136803646491372,0.04902123698562754,0.0,0.0
assembly_1,2,0.4,65,1.2707927246112376,0.6242198,0.6312165458220989,0.8391577949673961,1092.52,0.349706645615636,0.31572011587379095,0.06865426698095531,1.4043333874306804e-16,0.0
assembly_1,2,0.4,70,0.9750054548028857,0.38950019999999996,0.5696828466141597,0.8391577949673963,1092.52,0.15607825723207264,0.14280701303003293,0.03110139847301438,1.4043333874306804e-16,0.0
assembly_1,2,0.5,0,2.248360391939059,1.88069,0.32424450595863163,0.8399337781545034,1092.52,0.0,0.0,0.0,0.0,0.0
assembly_1,2,0.5,5,2.7025197596289217,2.1411119999999997,0.5190597404260189,0.8399337781545032,1092.52,0.5015960246209464,0.5152707517043832,0.04749786264560408,1.3136335981433191e-16,0.0
assembly_1,2,0.5,10,2.902884041820653,2.3228722,0.5540382925886661,0.8399337781545034,1092.52,0.34281983363335017,0.3408422311459658,0.03171354267057192,7.021666937153402e-17,0.0
assembly_1,2,0.5,15,2.4863514330238106,1.800838,0.6521073066163808,0.8399337781545032,1092.52,0.42589886401660837,0.42472180055231457,0.04868127551046806,8.599750569898517e-17,0.0
assembly_1,2,0.5,20,2.4244062091689558,1.6215296,0.7591676187934354,0.8399337781545032,1092.52,0.3839586539106092,0.36193656224183823,0.051756370345394986,1.1102230246251565e-16,0.0
assembly_1,2,0.5,25,1.7341048027854413,1.0808887999999999,0.6034022555686533,0.8399337781545034,1092.52,0.2780416222476706,0.23211070796790054,0.08582143191195879,8.599750569898517e-17,0.0
assembly_1,2,0.5,30,2.212392872804776,1.503524,0.687476608576253,0.8399337781545034,1092.52,0.5839341681360739,0.650971396049934,0.08915947122513514,1.2161883888976234e-16,0.0
assembly_1,2,0.5,35,1.5735860401997344,0.9215691999999999,0.6174087787978351,0.8399337781545034,1092.52,0.17066593225898774,0.1727290938914461,0.05040445924644239,1.4043333874306804e-16,0.0
